date_ligne_commande,id_article,ref_article,quantite
2024-01-03,3,REF003,67
2024-01-03,4,REF004,6
2024-01-03,4,REF004,61
2024-01-03,4,REF004,32
2024-01-03,4,REF004,66
2024-01-03,4,REF004,13
2024-01-03,5,REF005,69
2024-01-03,6,REF006,11
2024-01-03,6,REF006,66
2024-01-03,7,REF007,35
2024-01-03,7,REF007,31
2024-01-03,7,REF007,5
2024-01-03,8,REF008,99
2024-01-03,8,REF008,10
2024-01-03,8,REF008,98
2024-01-03,8,REF008,30
2024-01-03,9,REF009,46
2024-01-03,9,REF009,12
2024-01-03,9,REF009,27
2024-01-03,9,REF009,9
2024-01-03,10,REF010,98
2024-01-03,10,REF010,41
2024-01-03,10,REF010,9
2024-01-03,10,REF010,36
2024-01-03,10,REF010,67
2024-01-03,11,REF011,5
2024-01-03,11,REF011,28
2024-01-03,11,REF011,36
2024-01-03,11,REF011,36
2024-01-03,12,REF012,92
2024-01-03,13,REF013,60
2024-01-03,14,REF014,55
2024-01-03,15,REF015,6
2024-01-03,15,REF015,39
2024-01-03,16,REF016,95
2024-01-03,16,REF016,10
2024-01-03,16,REF016,58
2024-01-03,17,REF017,30
2024-01-03,17,REF017,51
2024-01-03,17,REF017,19
2024-01-03,17,REF017,48
2024-01-03,18,REF018,18
2024-01-03,18,REF018,30
2024-01-03,19,REF019,97
2024-01-03,19,REF019,71
2024-01-03,20,REF020,8
2024-01-03,20,REF020,54
2024-01-03,20,REF020,22
2024-01-04,1,REF001,44
2024-01-04,2,REF002,28
2024-01-04,2,REF002,49
2024-01-04,2,REF002,96
2024-01-04,2,REF002,61
2024-01-04,3,REF003,33
2024-01-04,3,REF003,86
2024-01-04,4,REF004,39
2024-01-04,4,REF004,63
2024-01-04,5,REF005,9
2024-01-04,5,REF005,66
2024-01-04,6,REF006,72
2024-01-04,6,REF006,99
2024-01-04,7,REF007,69
2024-01-04,8,REF008,33
2024-01-04,8,REF008,83
2024-01-04,8,REF008,43
2024-01-04,9,REF009,74
2024-01-04,10,REF010,61
2024-01-04,10,REF010,99
2024-01-04,12,REF012,36
2024-01-04,12,REF012,86
2024-01-04,12,REF012,40
2024-01-04,12,REF012,5
2024-01-04,12,REF012,3
2024-01-04,13,REF013,44
2024-01-04,14,REF014,77
2024-01-04,14,REF014,42
2024-01-04,14,REF014,68
2024-01-04,15,REF015,79
2024-01-04,15,REF015,41
2024-01-04,15,REF015,62
2024-01-04,15,REF015,77
2024-01-04,15,REF015,98
2024-01-04,15,REF015,61
2024-01-04,16,REF016,30
2024-01-04,16,REF016,30
2024-01-04,16,REF016,14
2024-01-04,16,REF016,55
2024-01-04,17,REF017,93
2024-01-04,17,REF017,91
2024-01-04,17,REF017,83
2024-01-04,17,REF017,50
2024-01-04,18,REF018,63
2024-01-04,18,REF018,28
2024-01-04,19,REF019,32
2024-01-04,19,REF019,23
2024-01-04,20,REF020,73
2024-01-05,1,REF001,49
2024-01-05,1,REF001,38
2024-01-05,1,REF001,57
2024-01-05,2,REF002,48
2024-01-05,3,REF003,80
2024-01-05,3,REF003,4
2024-01-05,3,REF003,23
2024-01-05,4,REF004,28
2024-01-05,4,REF004,4
2024-01-05,5,REF005,14
2024-01-05,5,REF005,42
2024-01-05,6,REF006,33
2024-01-05,6,REF006,81
2024-01-05,7,REF007,76
2024-01-05,7,REF007,37
2024-01-05,8,REF008,18
2024-01-05,8,REF008,100
2024-01-05,9,REF009,26
2024-01-05,9,REF009,64
2024-01-05,9,REF009,26
2024-01-05,10,REF010,12
2024-01-05,10,REF010,55
2024-01-05,11,REF011,62
2024-01-05,11,REF011,34
2024-01-05,11,REF011,32
2024-01-05,11,REF011,65
2024-01-05,12,REF012,48
2024-01-05,12,REF012,14
2024-01-05,12,REF012,28
2024-01-05,13,REF013,90
2024-01-05,13,REF013,93
2024-01-05,14,REF014,35
2024-01-05,15,REF015,17
2024-01-05,15,REF015,57
2024-01-05,16,REF016,64
2024-01-05,16,REF016,29
2024-01-05,16,REF016,78
2024-01-05,16,REF016,49
2024-01-05,17,REF017,49
2024-01-05,17,REF017,37
2024-01-05,17,REF017,34
2024-01-05,18,REF018,88
2024-01-05,18,REF018,40
2024-01-05,20,REF020,48
2024-01-05,20,REF020,19
2024-01-05,20,REF020,100
2024-01-05,20,REF020,80
2024-01-05,20,REF020,4
2024-01-05,20,REF020,8
2024-01-05,20,REF020,88
2024-01-05,20,REF020,31
2024-01-05,20,REF020,94
2024-01-06,1,REF001,79
2024-01-06,1,REF001,18
2024-01-06,1,REF001,20
2024-01-06,1,REF001,33
2024-01-06,2,REF002,21
2024-01-06,2,REF002,83
2024-01-06,4,REF004,1
2024-01-06,4,REF004,75
2024-01-06,5,REF005,44
2024-01-06,5,REF005,32
2024-01-06,5,REF005,75
2024-01-06,5,REF005,70
2024-01-06,5,REF005,6
2024-01-06,6,REF006,46
2024-01-06,6,REF006,26
2024-01-06,7,REF007,7
2024-01-06,7,REF007,21
2024-01-06,7,REF007,68
2024-01-06,8,REF008,90
2024-01-06,8,REF008,63
2024-01-06,9,REF009,98
2024-01-06,10,REF010,98
2024-01-06,11,REF011,32
2024-01-06,11,REF011,57
2024-01-06,11,REF011,5
2024-01-06,11,REF011,44
2024-01-06,11,REF011,100
2024-01-06,11,REF011,10
2024-01-06,12,REF012,56
2024-01-06,12,REF012,74
2024-01-06,12,REF012,29
2024-01-06,12,REF012,54
2024-01-06,12,REF012,7
2024-01-06,12,REF012,2
2024-01-06,12,REF012,27
2024-01-06,14,REF014,18
2024-01-06,14,REF014,59
2024-01-06,14,REF014,42
2024-01-06,14,REF014,63
2024-01-06,15,REF015,20
2024-01-06,15,REF015,47
2024-01-06,15,REF015,13
2024-01-06,15,REF015,7
2024-01-06,16,REF016,97
2024-01-06,16,REF016,91
2024-01-06,16,REF016,52
2024-01-06,16,REF016,49
2024-01-06,16,REF016,90
2024-01-06,17,REF017,44
2024-01-06,17,REF017,51
2024-01-06,17,REF017,31
2024-01-06,17,REF017,29
2024-01-06,18,REF018,40
2024-01-06,18,REF018,23
2024-01-06,19,REF019,41
2024-01-06,19,REF019,4
2024-01-06,19,REF019,77
2024-01-06,19,REF019,37
2024-01-06,20,REF020,4
2024-01-06,20,REF020,26
2024-01-06,20,REF020,43
2024-01-07,1,REF001,84
2024-01-07,1,REF001,9
2024-01-07,2,REF002,62
2024-01-07,2,REF002,30
2024-01-07,2,REF002,54
2024-01-07,2,REF002,100
2024-01-07,2,REF002,21
2024-01-07,3,REF003,7
2024-01-07,3,REF003,67
2024-01-07,3,REF003,46
2024-01-07,4,REF004,5
2024-01-07,4,REF004,78
2024-01-07,4,REF004,18
2024-01-07,5,REF005,14
2024-01-07,5,REF005,91
2024-01-07,5,REF005,16
2024-01-07,5,REF005,66
2024-01-07,6,REF006,92
2024-01-07,6,REF006,39
2024-01-07,6,REF006,45
2024-01-07,7,REF007,98
2024-01-07,7,REF007,37
2024-01-07,7,REF007,47
2024-01-07,7,REF007,7
2024-01-07,7,REF007,48
2024-01-07,7,REF007,2
2024-01-07,9,REF009,77
2024-01-07,10,REF010,31
2024-01-07,10,REF010,92
2024-01-07,10,REF010,72
2024-01-07,10,REF010,7
2024-01-07,10,REF010,35
2024-01-07,10,REF010,88
2024-01-07,10,REF010,35
2024-01-07,11,REF011,23
2024-01-07,11,REF011,67
2024-01-07,11,REF011,40
2024-01-07,11,REF011,49
2024-01-07,12,REF012,50
2024-01-07,12,REF012,73
2024-01-07,12,REF012,82
2024-01-07,13,REF013,31
2024-01-07,13,REF013,99
2024-01-07,13,REF013,95
2024-01-07,13,REF013,50
2024-01-07,14,REF014,36
2024-01-07,14,REF014,13
2024-01-07,14,REF014,38
2024-01-07,15,REF015,40
2024-01-07,15,REF015,74
2024-01-07,15,REF015,100
2024-01-07,16,REF016,89
2024-01-07,16,REF016,61
2024-01-07,16,REF016,1
2024-01-07,16,REF016,70
2024-01-07,16,REF016,20
2024-01-07,16,REF016,2
2024-01-07,18,REF018,33
2024-01-07,18,REF018,80
2024-01-07,18,REF018,96
2024-01-07,19,REF019,45
2024-01-07,19,REF019,45
2024-01-07,19,REF019,25
2024-01-07,20,REF020,13
2024-01-07,20,REF020,90
2024-01-07,20,REF020,88
2024-01-07,20,REF020,10
2024-01-07,20,REF020,8
2024-01-08,1,REF001,72
2024-01-08,1,REF001,14
2024-01-08,2,REF002,89
2024-01-08,3,REF003,52
2024-01-08,4,REF004,73
2024-01-08,5,REF005,34
2024-01-08,5,REF005,73
2024-01-08,5,REF005,99
2024-01-08,6,REF006,11
2024-01-08,6,REF006,10
2024-01-08,6,REF006,16
2024-01-08,7,REF007,82
2024-01-08,7,REF007,17
2024-01-08,8,REF008,73
2024-01-08,8,REF008,50
2024-01-08,8,REF008,58
2024-01-08,9,REF009,80
2024-01-08,9,REF009,85
2024-01-08,10,REF010,34
2024-01-08,11,REF011,37
2024-01-08,12,REF012,75
2024-01-08,12,REF012,63
2024-01-08,13,REF013,34
2024-01-08,13,REF013,100
2024-01-08,14,REF014,31
2024-01-08,14,REF014,21
2024-01-08,15,REF015,3
2024-01-08,15,REF015,32
2024-01-08,15,REF015,67
2024-01-08,16,REF016,21
2024-01-08,16,REF016,16
2024-01-08,17,REF017,96
2024-01-08,18,REF018,76
2024-01-08,18,REF018,16
2024-01-08,19,REF019,49
2024-01-08,19,REF019,40
2024-01-08,20,REF020,73
2024-01-08,20,REF020,10
2024-01-09,1,REF001,97
2024-01-09,1,REF001,68
2024-01-09,1,REF001,71
2024-01-09,1,REF001,82
2024-01-09,2,REF002,16
2024-01-09,2,REF002,51
2024-01-09,2,REF002,50
2024-01-09,2,REF002,47
2024-01-09,2,REF002,66
2024-01-09,3,REF003,25
2024-01-09,3,REF003,22
2024-01-09,3,REF003,88
2024-01-09,4,REF004,3
2024-01-09,4,REF004,49
2024-01-09,4,REF004,87
2024-01-09,4,REF004,40
2024-01-09,4,REF004,9
2024-01-09,5,REF005,32
2024-01-09,5,REF005,88
2024-01-09,6,REF006,10
2024-01-09,6,REF006,77
2024-01-09,6,REF006,15
2024-01-09,7,REF007,27
2024-01-09,7,REF007,40
2024-01-09,7,REF007,52
2024-01-09,8,REF008,91
2024-01-09,8,REF008,62
2024-01-09,8,REF008,80
2024-01-09,10,REF010,94
2024-01-09,10,REF010,51
2024-01-09,11,REF011,4
2024-01-09,11,REF011,93
2024-01-09,11,REF011,46
2024-01-09,11,REF011,81
2024-01-09,13,REF013,91
2024-01-09,13,REF013,10
2024-01-09,13,REF013,6
2024-01-09,13,REF013,97
2024-01-09,13,REF013,30
2024-01-09,14,REF014,55
2024-01-09,14,REF014,97
2024-01-09,14,REF014,12
2024-01-09,15,REF015,50
2024-01-09,15,REF015,90
2024-01-09,16,REF016,70
2024-01-09,16,REF016,77
2024-01-09,16,REF016,45
2024-01-09,16,REF016,29
2024-01-09,17,REF017,97
2024-01-09,17,REF017,53
2024-01-09,17,REF017,1
2024-01-09,18,REF018,60
2024-01-09,19,REF019,52
2024-01-09,19,REF019,18
2024-01-09,19,REF019,19
2024-01-09,20,REF020,70
2024-01-09,20,REF020,55
2024-01-09,20,REF020,78
2024-01-09,20,REF020,47
2024-01-09,20,REF020,1
2024-01-09,20,REF020,77
2024-01-10,1,REF001,59
2024-01-10,2,REF002,76
2024-01-10,2,REF002,92
2024-01-10,2,REF002,30
2024-01-10,3,REF003,82
2024-01-10,3,REF003,53
2024-01-10,3,REF003,36
2024-01-10,3,REF003,67
2024-01-10,4,REF004,34
2024-01-10,5,REF005,79
2024-01-10,5,REF005,50
2024-01-10,6,REF006,29
2024-01-10,6,REF006,37
2024-01-10,7,REF007,96
2024-01-10,7,REF007,6
2024-01-10,8,REF008,27
2024-01-10,8,REF008,7
2024-01-10,9,REF009,33
2024-01-10,9,REF009,25
2024-01-10,9,REF009,76
2024-01-10,10,REF010,21
2024-01-10,11,REF011,46
2024-01-10,11,REF011,39
2024-01-10,12,REF012,12
2024-01-10,12,REF012,63
2024-01-10,12,REF012,58
2024-01-10,12,REF012,91
2024-01-10,12,REF012,93
2024-01-10,12,REF012,71
2024-01-10,12,REF012,40
2024-01-10,13,REF013,34
2024-01-10,13,REF013,71
2024-01-10,13,REF013,35
2024-01-10,13,REF013,34
2024-01-10,13,REF013,70
2024-01-10,14,REF014,45
2024-01-10,14,REF014,86
2024-01-10,14,REF014,36
2024-01-10,14,REF014,85
2024-01-10,15,REF015,75
2024-01-10,15,REF015,19
2024-01-10,15,REF015,16
2024-01-10,16,REF016,29
2024-01-10,17,REF017,96
2024-01-10,18,REF018,30
2024-01-10,18,REF018,74
2024-01-10,18,REF018,60
2024-01-10,19,REF019,39
2024-01-10,19,REF019,46
2024-01-10,20,REF020,87
2024-01-10,20,REF020,22
2024-01-11,1,REF001,26
2024-01-11,1,REF001,21
2024-01-11,2,REF002,9
2024-01-11,2,REF002,12
2024-01-11,2,REF002,75
2024-01-11,2,REF002,99
2024-01-11,3,REF003,15
2024-01-11,4,REF004,54
2024-01-11,4,REF004,33
2024-01-11,4,REF004,6
2024-01-11,5,REF005,41
2024-01-11,5,REF005,89
2024-01-11,5,REF005,7
2024-01-11,5,REF005,6
2024-01-11,5,REF005,81
2024-01-11,6,REF006,34
2024-01-11,6,REF006,7
2024-01-11,6,REF006,50
2024-01-11,6,REF006,52
2024-01-11,6,REF006,1
2024-01-11,6,REF006,35
2024-01-11,7,REF007,70
2024-01-11,7,REF007,25
2024-01-11,8,REF008,31
2024-01-11,8,REF008,73
2024-01-11,8,REF008,98
2024-01-11,8,REF008,45
2024-01-11,9,REF009,48
2024-01-11,9,REF009,95
2024-01-11,9,REF009,3
2024-01-11,9,REF009,99
2024-01-11,9,REF009,26
2024-01-11,10,REF010,95
2024-01-11,10,REF010,88
2024-01-11,11,REF011,90
2024-01-11,11,REF011,59
2024-01-11,11,REF011,7
2024-01-11,12,REF012,98
2024-01-11,12,REF012,2
2024-01-11,13,REF013,59
2024-01-11,13,REF013,90
2024-01-11,14,REF014,62
2024-01-11,14,REF014,16
2024-01-11,14,REF014,36
2024-01-11,14,REF014,50
2024-01-11,15,REF015,100
2024-01-11,15,REF015,70
2024-01-11,15,REF015,43
2024-01-11,15,REF015,96
2024-01-11,15,REF015,55
2024-01-11,16,REF016,95
2024-01-11,17,REF017,34
2024-01-11,17,REF017,22
2024-01-11,17,REF017,96
2024-01-11,17,REF017,84
2024-01-11,17,REF017,6
2024-01-11,17,REF017,32
2024-01-11,18,REF018,4
2024-01-11,19,REF019,43
2024-01-11,19,REF019,10
2024-01-11,19,REF019,24
2024-01-11,20,REF020,81
2024-01-12,1,REF001,21
2024-01-12,1,REF001,50
2024-01-12,1,REF001,80
2024-01-12,1,REF001,42
2024-01-12,2,REF002,5
2024-01-12,3,REF003,9
2024-01-12,3,REF003,34
2024-01-12,3,REF003,41
2024-01-12,3,REF003,59
2024-01-12,4,REF004,25
2024-01-12,4,REF004,72
2024-01-12,5,REF005,78
2024-01-12,5,REF005,51
2024-01-12,5,REF005,74
2024-01-12,5,REF005,71
2024-01-12,6,REF006,88
2024-01-12,6,REF006,66
2024-01-12,7,REF007,24
2024-01-12,8,REF008,22
2024-01-12,8,REF008,48
2024-01-12,8,REF008,97
2024-01-12,8,REF008,67
2024-01-12,9,REF009,77
2024-01-12,10,REF010,10
2024-01-12,10,REF010,60
2024-01-12,10,REF010,49
2024-01-12,10,REF010,55
2024-01-12,10,REF010,86
2024-01-12,11,REF011,64
2024-01-12,11,REF011,38
2024-01-12,11,REF011,90
2024-01-12,11,REF011,24
2024-01-12,12,REF012,13
2024-01-12,12,REF012,87
2024-01-12,12,REF012,55
2024-01-12,12,REF012,47
2024-01-12,12,REF012,91
2024-01-12,12,REF012,29
2024-01-12,13,REF013,55
2024-01-12,13,REF013,52
2024-01-12,13,REF013,100
2024-01-12,13,REF013,36
2024-01-12,14,REF014,41
2024-01-12,14,REF014,88
2024-01-12,14,REF014,33
2024-01-12,15,REF015,22
2024-01-12,15,REF015,9
2024-01-12,15,REF015,100
2024-01-12,16,REF016,82
2024-01-12,16,REF016,95
2024-01-12,17,REF017,59
2024-01-12,17,REF017,38
2024-01-12,18,REF018,39
2024-01-12,18,REF018,68
2024-01-12,18,REF018,30
2024-01-12,18,REF018,58
2024-01-12,19,REF019,3
2024-01-12,19,REF019,72
2024-01-12,19,REF019,89
2024-01-12,20,REF020,74
2024-01-12,20,REF020,1
2024-01-13,1,REF001,99
2024-01-13,1,REF001,60
2024-01-13,2,REF002,98
2024-01-13,2,REF002,38
2024-01-13,2,REF002,89
2024-01-13,2,REF002,37
2024-01-13,2,REF002,48
2024-01-13,3,REF003,100
2024-01-13,3,REF003,13
2024-01-13,3,REF003,82
2024-01-13,3,REF003,83
2024-01-13,4,REF004,41
2024-01-13,4,REF004,51
2024-01-13,4,REF004,44
2024-01-13,5,REF005,69
2024-01-13,5,REF005,14
2024-01-13,5,REF005,65
2024-01-13,7,REF007,34
2024-01-13,7,REF007,19
2024-01-13,7,REF007,57
2024-01-13,8,REF008,84
2024-01-13,8,REF008,8
2024-01-13,10,REF010,89
2024-01-13,10,REF010,72
2024-01-13,10,REF010,21
2024-01-13,10,REF010,19
2024-01-13,11,REF011,46
2024-01-13,11,REF011,59
2024-01-13,11,REF011,19
2024-01-13,12,REF012,65
2024-01-13,13,REF013,71
2024-01-13,13,REF013,86
2024-01-13,13,REF013,85
2024-01-13,13,REF013,8
2024-01-13,14,REF014,13
2024-01-13,14,REF014,17
2024-01-13,14,REF014,85
2024-01-13,15,REF015,18
2024-01-13,15,REF015,24
2024-01-13,15,REF015,99
2024-01-13,15,REF015,44
2024-01-13,15,REF015,99
2024-01-13,16,REF016,82
2024-01-13,16,REF016,76
2024-01-13,17,REF017,22
2024-01-13,17,REF017,77
2024-01-13,18,REF018,56
2024-01-13,18,REF018,78
2024-01-13,19,REF019,57
2024-01-13,19,REF019,64
2024-01-13,19,REF019,16
2024-01-13,19,REF019,67
2024-01-13,20,REF020,55
2024-01-13,20,REF020,27
2024-01-13,20,REF020,50
2024-01-14,1,REF001,70
2024-01-14,1,REF001,25
2024-01-14,1,REF001,2
2024-01-14,1,REF001,14
2024-01-14,2,REF002,50
2024-01-14,2,REF002,28
2024-01-14,3,REF003,59
2024-01-14,3,REF003,17
2024-01-14,3,REF003,22
2024-01-14,3,REF003,64
2024-01-14,4,REF004,65
2024-01-14,4,REF004,14
2024-01-14,4,REF004,11
2024-01-14,5,REF005,51
2024-01-14,5,REF005,11
2024-01-14,5,REF005,85
2024-01-14,5,REF005,2
2024-01-14,6,REF006,43
2024-01-14,6,REF006,42
2024-01-14,6,REF006,40
2024-01-14,6,REF006,61
2024-01-14,7,REF007,11
2024-01-14,7,REF007,61
2024-01-14,7,REF007,38
2024-01-14,8,REF008,29
2024-01-14,9,REF009,25
2024-01-14,10,REF010,69
2024-01-14,10,REF010,57
2024-01-14,10,REF010,8
2024-01-14,12,REF012,47
2024-01-14,13,REF013,23
2024-01-14,13,REF013,90
2024-01-14,13,REF013,84
2024-01-14,14,REF014,41
2024-01-14,14,REF014,72
2024-01-14,16,REF016,77
2024-01-14,16,REF016,94
2024-01-14,16,REF016,50
2024-01-14,16,REF016,7
2024-01-14,17,REF017,36
2024-01-14,17,REF017,26
2024-01-14,17,REF017,41
2024-01-14,17,REF017,69
2024-01-14,18,REF018,52
2024-01-14,18,REF018,29
2024-01-14,18,REF018,86
2024-01-14,18,REF018,64
2024-01-14,19,REF019,16
2024-01-14,19,REF019,29
2024-01-14,20,REF020,33
2024-01-14,20,REF020,24
2024-01-15,1,REF001,86
2024-01-15,1,REF001,90
2024-01-15,1,REF001,26
2024-01-15,1,REF001,88
2024-01-15,2,REF002,43
2024-01-15,2,REF002,92
2024-01-15,3,REF003,28
2024-01-15,3,REF003,52
2024-01-15,4,REF004,50
2024-01-15,4,REF004,42
2024-01-15,5,REF005,5
2024-01-15,6,REF006,52
2024-01-15,6,REF006,20
2024-01-15,7,REF007,72
2024-01-15,7,REF007,76
2024-01-15,8,REF008,63
2024-01-15,8,REF008,71
2024-01-15,8,REF008,79
2024-01-15,8,REF008,18
2024-01-15,8,REF008,31
2024-01-15,9,REF009,96
2024-01-15,10,REF010,5
2024-01-15,11,REF011,21
2024-01-15,11,REF011,50
2024-01-15,11,REF011,65
2024-01-15,11,REF011,68
2024-01-15,11,REF011,76
2024-01-15,12,REF012,100
2024-01-15,12,REF012,82
2024-01-15,12,REF012,42
2024-01-15,12,REF012,74
2024-01-15,13,REF013,48
2024-01-15,13,REF013,48
2024-01-15,14,REF014,46
2024-01-15,14,REF014,72
2024-01-15,15,REF015,75
2024-01-15,15,REF015,48
2024-01-15,17,REF017,86
2024-01-15,17,REF017,69
2024-01-15,17,REF017,76
2024-01-15,17,REF017,50
2024-01-15,18,REF018,16
2024-01-15,18,REF018,62
2024-01-15,19,REF019,58
2024-01-15,19,REF019,57
2024-01-15,19,REF019,99
2024-01-15,20,REF020,3
2024-01-16,1,REF001,65
2024-01-16,1,REF001,67
2024-01-16,1,REF001,14
2024-01-16,1,REF001,48
2024-01-16,2,REF002,41
2024-01-16,2,REF002,98
2024-01-16,2,REF002,99
2024-01-16,4,REF004,97
2024-01-16,4,REF004,38
2024-01-16,4,REF004,86
2024-01-16,4,REF004,3
2024-01-16,4,REF004,78
2024-01-16,5,REF005,29
2024-01-16,5,REF005,5
2024-01-16,5,REF005,88
2024-01-16,5,REF005,39
2024-01-16,6,REF006,68
2024-01-16,6,REF006,11
2024-01-16,6,REF006,100
2024-01-16,7,REF007,98
2024-01-16,7,REF007,9
2024-01-16,7,REF007,77
2024-01-16,7,REF007,43
2024-01-16,8,REF008,97
2024-01-16,8,REF008,16
2024-01-16,9,REF009,19
2024-01-16,10,REF010,76
2024-01-16,10,REF010,50
2024-01-16,11,REF011,18
2024-01-16,11,REF011,37
2024-01-16,12,REF012,62
2024-01-16,12,REF012,56
2024-01-16,12,REF012,87
2024-01-16,12,REF012,50
2024-01-16,12,REF012,65
2024-01-16,12,REF012,7
2024-01-16,13,REF013,69
2024-01-16,13,REF013,43
2024-01-16,13,REF013,5
2024-01-16,13,REF013,2
2024-01-16,14,REF014,16
2024-01-16,15,REF015,31
2024-01-16,15,REF015,33
2024-01-16,15,REF015,31
2024-01-16,16,REF016,39
2024-01-16,16,REF016,28
2024-01-16,17,REF017,93
2024-01-16,17,REF017,32
2024-01-16,17,REF017,95
2024-01-16,17,REF017,54
2024-01-16,17,REF017,14
2024-01-16,18,REF018,68
2024-01-16,19,REF019,55
2024-01-16,19,REF019,48
2024-01-16,19,REF019,21
2024-01-16,20,REF020,26
2024-01-16,20,REF020,59
2024-01-16,20,REF020,95
2024-01-16,20,REF020,97
2024-01-16,20,REF020,36
2024-01-16,20,REF020,8
2024-01-16,20,REF020,48
2024-01-16,20,REF020,93
2024-01-17,2,REF002,27
2024-01-17,2,REF002,56
2024-01-17,2,REF002,57
2024-01-17,3,REF003,50
2024-01-17,3,REF003,6
2024-01-17,3,REF003,27
2024-01-17,3,REF003,94
2024-01-17,3,REF003,49
2024-01-17,3,REF003,53
2024-01-17,4,REF004,28
2024-01-17,4,REF004,86
2024-01-17,4,REF004,99
2024-01-17,5,REF005,80
2024-01-17,5,REF005,43
2024-01-17,5,REF005,73
2024-01-17,5,REF005,18
2024-01-17,5,REF005,84
2024-01-17,5,REF005,75
2024-01-17,5,REF005,87
2024-01-17,6,REF006,60
2024-01-17,6,REF006,26
2024-01-17,6,REF006,57
2024-01-17,6,REF006,70
2024-01-17,6,REF006,22
2024-01-17,6,REF006,48
2024-01-17,7,REF007,52
2024-01-17,7,REF007,79
2024-01-17,8,REF008,14
2024-01-17,8,REF008,53
2024-01-17,9,REF009,44
2024-01-17,9,REF009,23
2024-01-17,10,REF010,41
2024-01-17,10,REF010,14
2024-01-17,10,REF010,1
2024-01-17,10,REF010,86
2024-01-17,10,REF010,83
2024-01-17,11,REF011,79
2024-01-17,11,REF011,31
2024-01-17,11,REF011,82
2024-01-17,13,REF013,95
2024-01-17,13,REF013,68
2024-01-17,13,REF013,2
2024-01-17,13,REF013,71
2024-01-17,13,REF013,96
2024-01-17,14,REF014,35
2024-01-17,14,REF014,95
2024-01-17,15,REF015,57
